pathway,153 ADRB1,154 ADRB2,155 ADRB3,2778 GNAS,107 ADCY1,108 ADCY2,109 ADCY3,196883 ADCY4,111 ADCY5,112 ADCY6,113 ADCY7,114 ADCY8,115 ADCY9,5566 PRKACA,5567 PRKACB,5568 PRKACG,6844 VAMP2,148 ADRA1A,147 ADRA1B,146 ADRA1D,1131 CHRM3,2776 GNAQ,23236 PLCB1,5330 PLCB2,5331 PLCB3,5332 PLCB4,5578 PRKCA,5579 PRKCB,5582 PRKCG,3708 ITPR1,3709 ITPR2,3710 ITPR3,6263 RYR3,810 CALML3,805 CALM2,808 CALM3,801 CALM1,163688 CALML6,51806 CALML5,91860 CALML4,4842 NOS1,2977 GUCY1A2,2982 GUCY1A1,2983 GUCY1B1,5592 PRKG1,5593 PRKG2,952 CD38,683 BST1,54831 BEST2,362 AQP5,476 ATP1A1,477 ATP1A2,478 ATP1A3,480 ATP1A4,23439 ATP1B4,481 ATP1B1,482 ATP1B2,483 ATP1B3,486 FXYD2,490 ATP2B1,492 ATP2B3,493 ATP2B4,491 ATP2B2,6558 SLC12A2,3783 KCNN4,3778 KCNMA1,6522 SLC4A2,6548 SLC9A1,55503 TRPV6,727897 MUC5B,4589 MUC7,278 AMY1C,279 AMY2A,276 AMY1A,280 AMY2B,277 AMY1B,5555 PRH2,5554 PRH1,5542 PRB1,653247 PRB2,1755 DMBT1,1469 CST1,1470 CST2,1471 CST3,1472 CST4,1473 CST5,3346 HTN1,3347 HTN3,6779 STATH,4069 LYZ,84569 LYZL1,4025 LPO,820 CAMP,2520 GAST,887 CCKBR,7430 EZR,71 ACTG1,60 ACTB,815 CAMK2A,817 CAMK2D,816 CAMK2B,818 CAMK2G,4638 MYLK,85366 MYLK2,91807 MYLK3,340156 MYLK4,3274 HRH2,6750 SST,6752 SSTR2,2770 GNAI1,2773 GNAI3,2771 GNAI2,495 ATP4A,496 ATP4B,9992 KCNE2,3784 KCNQ1,3758 KCNJ1,3759 KCNJ2,3766 KCNJ10,3772 KCNJ15,3773 KCNJ16,1080 CFTR,3776 KCNK2,54207 KCNK10,389015 SLC9A4,760 CA2,115111 SLC26A7,885 CCK,886 CCKAR,9545 RAB3D,4218 RAB8A,8766 RAB11A,5874 RAB27B,5906 RAP1A,5908 RAP1B,387 RHOA,5879 RAC1,5646 PRSS3,5645 PRSS2,5644 PRSS1,440387 CTRB2,1504 CTRB1,1506 CTRL,63036 CELA2A,51032 CELA2B,10136 CELA3A,23436 CELA3B,1357 CPA1,1358 CPA2,1359 CPA3,1360 CPB1,1361 CPB2,5406 PNLIP,5407 PNLIPRP1,5408 PNLIPRP2,1056 CEL,8399 PLA2G10,26279 PLA2G2D,30814 PLA2G2E,50487 PLA2G3,64600 PLA2G2F,81579 PLA2G12A,84647 PLA2G12B,5319 PLA2G1B,5322 PLA2G5,5320 PLA2G2A,391013 PLA2G2C,6262 RYR2,219931 TPCN2,487 ATP2A1,489 ATP2A3,488 ATP2A2,1179 CLCA1,9635 CLCA2,22802 CLCA4,7220 TRPC1,6343 SCT,6344 SCTR,1811 SLC26A3,8671 SLC4A4,3938 LCT,8972 MGAM,93432 MGAM2,6476 SI,6523 SLC5A1,6514 SLC2A2,3101 HK3,3098 HK1,3099 HK2,80201 HKDC1,2542 SLC37A4,2538 G6PC1,57818 G6PC2,92579 G6PC3,6518 SLC2A5,5295 PIK3R1,5296 PIK3R2,8503 PIK3R3,5290 PIK3CA,5293 PIK3CD,5291 PIK3CB,207 AKT1,208 AKT2,10000 AKT3,776 CACNA1D,80834 TAS1R2,83756 TAS1R3,346562 GNAT3,5222 PGA5,643847 PGA4,643834 PGA3,6550 SLC9A3,6564 SLC15A1,8645 KCNK5,10008 KCNE3,3769 KCNJ13,54407 SLC38A2,4311 MME,4224 MEP1A,4225 MEP1B,59272 ACE2,5547 PRCP,1803 DPP4,7512 XPNPEP2,6505 SLC1A1,6510 SLC1A5,6546 SLC8A1,6543 SLC8A2,6547 SLC8A3,340024 SLC6A19,6520 SLC3A2,23428 SLC7A8,206358 SLC36A1,153201 SLC36A2,120103 SLC36A4,285641 SLC36A3,117247 SLC16A10,6519 SLC3A1,11136 SLC7A9,9056 SLC7A7,2006 ELN,1277 COL1A1,1278 COL1A2,1280 COL2A1,1281 COL3A1,1284 COL4A2,1286 COL4A4,1288 COL4A6,1282 COL4A1,1287 COL4A5,1285 COL4A3,1289 COL5A1,1290 COL5A2,50509 COL5A3,1301 COL11A1,255631 COL24A1,85301 COL27A1,1302 COL11A2,1291 COL6A1,1292 COL6A2,1293 COL6A3,131873 COL6A6,256076 COL6A5,1294 COL7A1,1295 COL8A1,1296 COL8A2,1297 COL9A1,1298 COL9A2,1299 COL9A3,1300 COL10A1,1303 COL12A1,1305 COL13A1,7373 COL14A1,1306 COL15A1,1307 COL16A1,1308 COL17A1,80781 COL18A1,1310 COL19A1,57642 COL20A1,81578 COL21A1,169044 COL22A1,91522 COL23A1,84570 COL25A1,136227 COL26A1,340267 COL28A1,8513 LIPF,1208 CLPS,948 CD36,2806 GOT2,2169 FABP2,2168 FABP1,376497 SLC27A1,10999 SLC27A4,10554 AGPAT1,10555 AGPAT2,8611 PLPP1,8613 PLPP3,8612 PLPP2,80168 MOGAT2,346606 MOGAT3,8694 DGAT1,84649 DGAT2,949 SCARB1,29881 NPC1L1,39 ACAT2,38 ACAT1,64240 ABCG5,64241 ABCG8,337 APOA4,338 APOB,4547 MTTP,335 APOA1,19 ABCA1,2052 EPHX1,6579 SLCO1A2,28234 SLCO1B3,10599 SLCO1B1,6554 SLC10A1,10864 SLC22A7,9376 SLC22A8,6580 SLC22A1,3156 HMGCR,3949 LDLR,57552 NCEH1,1581 CYP7A1,9971 NR1H4,6256 RXRA,8431 NR0B2,10941 UGT2A1,79799 UGT2A3,7367 UGT2B17,10720 UGT2B11,54490 UGT2B28,54578 UGT1A6,54657 UGT1A4,54658 UGT1A1,54659 UGT1A3,7365 UGT2B10,54600 UGT1A9,7364 UGT2B7,54575 UGT1A10,54576 UGT1A8,54579 UGT1A5,7366 UGT2B15,54577 UGT1A7,7363 UGT2B4,574537 UGT2A2,6822 SULT2A1,10998 SLC27A5,570 BAAT,1576 CYP3A4,366 AQP9,343 AQP8,8647 ABCB11,1244 ABCC2,9429 ABCG2,5243 ABCB1,5244 ABCB4,57835 SLC4A5,8714 ABCC3,10257 ABCC4,200931 SLC51A,123264 SLC51B,3781 KCNN2,361 AQP4,358 AQP1,6555 SLC10A2,6513 SLC2A1,2346 FOLH1,686 BTD,2694 CBLIF,8029 CUBN,55788 LMBRD1,25974 MMACHC,4363 ABCC1,6948 TCN2,80704 SLC19A3,10560 SLC19A2,113278 SLC52A3,8884 SLC5A6,9963 SLC23A1,113235 SLC46A1,6573 SLC19A1,151056 PLB1,5948 RBP2,158835 AWAT2,9227 LRAT,6569 SLC34A1,10568 SLC34A2,142680 SLC34A3,7421 VDR,140803 TRPM6,54822 TRPM7,795 S100G,65010 SLC26A6,115019 SLC26A9,1181 CLCN2,3162 HMOX1,3163 HMOX2,79901 CYBRD1,4891 SLC11A2,2495 FTH1,2512 FTL,30061 SLC40A1,9843 HEPH,341208 HEPHL1,7018 TF,55630 SLC39A4,7779 SLC30A1,1317 SLC31A1,26872 STEAP1,261729 STEAP2,4490 MT1B,4493 MT1E,4494 MT1F,4495 MT1G,4496 MT1H,4499 MT1M,4501 MT1X,4502 MT2A,4489 MT1A,645745 MT1HL1,475 ATOX1,540 ATP7B,538 ATP7A,4023 LPL,3931 LCAT,9388 LIPG,5360 PLTP,1071 CETP,3990 LIPC,4018 LPA,8435 SOAT2,6646 SOAT1,341 APOC1,344 APOC2,350 APOH,27329 ANGPTL3,51129 ANGPTL4,55908 ANGPTL8,6272 SORT1,255738 PCSK9,26119 LDLRAP1,29116 MYLIP,348 APOE,4035 LRP1,4036 LRP2,4043 LRPAP1,3988 LIPA,10948 STARD3,7416 VDAC1,7417 VDAC2,7419 VDAC3,706 TSPO,1593 CYP27A1,9218 VAPA,9217 VAPB,4864 NPC1,114879 OSBPL5,10577 NPC2,6770 STAR,336 APOA2,345 APOC3
has04970 Salivary secretion ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has04971 Gastric acid secretion ,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has04972 Pancreatic secretion ,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has04973 Carbohydrate digestion and absorption ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has04974 Protein digestion and absorption ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has04975 Fat digestion and absorption ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has04976 Bile secretion ,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has04977 Vitamin digestion and absorption ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has04978 Mineral absorption ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has04979 Cholesterol metabolism ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
